Id,Main,title,Third,Brands,旗舰店,天猫超市,海外旗舰店
0,进口食品,进口牛奶,进口纯牛奶,DEVONDALE/德运,1,1,1
1,进口食品,进口牛奶,进口纯牛奶,德亚,1,1,0
2,进口食品,进口牛奶,进口纯牛奶,安佳,1,1,1
3,进口食品,进口牛奶,进口纯牛奶,The land/纽仕兰,1,1,0
4,进口食品,进口牛奶,进口纯牛奶,欧德堡,1,1,0
5,进口食品,进口牛奶,进口纯牛奶,Globemilk/荷高,1,1,0
6,进口食品,进口牛奶,进口纯牛奶,Arla/爱氏晨曦,1,1,0
7,进口食品,进口牛奶,进口纯牛奶,甘蒂牧场,1,1,0
8,进口食品,进口牛奶,进口纯牛奶,Meadow Fresh/纽麦福,1,1,0
9,进口食品,进口牛奶,进口纯牛奶,Vecozuivel/乐荷,1,1,0
10,进口食品,进口牛奶,进口纯牛奶,SUNSIDES/上质,1,1,0
11,进口食品,进口牛奶,进口纯牛奶,好沃德（德国）,1,1,0
12,进口食品,进口牛奶,进口纯牛奶,mukki,1,1,0
13,进口食品,进口牛奶,进口纯牛奶,维纯（澳大利亚）,1,1,1
14,进口食品,进口牛奶,进口纯牛奶,SUKI/多美鲜,1,1,0
15,进口食品,进口牛奶,进口酸奶,德亚,1,1,0
16,进口食品,进口牛奶,进口酸奶,卓德,1,1,0
17,进口食品,进口牛奶,进口酸奶,蒙牛,1,1,0
18,进口食品,进口牛奶,进口酸奶,安佳,1,1,1
19,进口食品,进口牛奶,进口酸奶,SUKI/多美鲜,1,1,0
20,进口食品,进口牛奶,进口酸奶,阿贝多,0,1,0
21,进口食品,进口牛奶,进口酸奶,菲仕利,1,1,0
22,进口食品,进口牛奶,进口酸奶,怡美特（德国）,1,1,0
23,进口食品,进口牛奶,进口酸奶,memilk,1,1,0
24,进口食品,进口牛奶,进口酸奶,亨利,1,1,0
25,进口食品,进口牛奶,进口酸奶,Sweet Cat/甜猫,0,1,0
26,进口食品,进口牛奶,进口成人奶粉,Nestle/雀巢,0,1,0
27,进口食品,进口牛奶,进口成人奶粉,安佳,1,1,1
28,进口食品,进口牛奶,进口成人奶粉,valio,1,1,1
29,进口食品,进口牛奶,进口成人奶粉,maxigenes/美可卓,1,1,1
30,进口食品,进口牛奶,进口成人奶粉,DEVONDALE/德运,1,1,1
31,进口食品,进口牛奶,进口成人奶粉,Karivita/卡瑞特兹,1,1,0
32,进口食品,进口牛奶,进口成人奶粉,Flevomel/风车牧场,1,1,0
33,进口食品,进口牛奶,进口成人奶粉,薇加（西班牙）,0,1,0
34,进口食品,进口牛奶,进口成人奶粉,荷兰乳牛,1,1,0
35,进口食品,进口牛奶,进口成人奶粉,德运,1,1,1
36,进口食品,进口牛奶,进口成人奶粉,The land/纽仕兰,1,1,0
37,进口食品,进口牛奶,进口成人奶粉,Nouriz/纽瑞滋,1,1,0
38,进口食品,进口牛奶,进口成人奶粉,爱薇牛,1,1,0
39,进口食品,进口牛奶,进口成人奶粉,Arla/爱氏晨曦,1,1,0
40,进口食品,进口牛奶,进口成人奶粉,全安素,1,1,0
41,进口食品,进口牛奶,进口成人奶粉,ANMUM/安满,1,1,1
42,进口食品,进口牛奶,进口成人奶粉,teekanne,1,1,0
43,进口食品,进口牛奶,进口成人奶粉,伊利,1,1,0
44,进口食品,进口牛奶,进口成人奶粉,Globemilk/荷高,1,1,0
45,进口食品,进口牛奶,进口含乳饮料,Vamino/哇米诺,1,1,0
46,进口食品,进口牛奶,进口含乳饮料,Binggrae/宾格瑞,1,1,0
47,进口食品,进口牛奶,进口含乳饮料,国农（台湾）,1,1,0
48,进口食品,进口牛奶,进口含乳饮料,JUKU JUKU,1,1,0
49,进口食品,进口牛奶,进口含乳饮料,豆的秘密（泰国）,0,1,0
50,进口食品,进口牛奶,进口含乳饮料,力大狮（泰国）,1,1,0
51,进口食品,进口牛奶,进口含乳饮料,维娜乳业（越南）,0,1,0
52,进口食品,进口牛奶,进口含乳饮料,hethy,0,1,0
53,进口食品,进口牛奶,进口含乳饮料,杨协成,1,1,0
54,进口食品,进口牛奶,进口含乳饮料,YUTAGON/优他多,0,1,0
55,进口食品,进口牛奶,进口含乳饮料,小猪佩奇,1,0,0
