,Main,title,Third,Brands
0,进口食品,进口牛奶,进口纯牛奶,DEVONDALE/德运
1,进口食品,进口牛奶,进口纯牛奶,德亚
2,进口食品,进口牛奶,进口纯牛奶,安佳
3,进口食品,进口牛奶,进口纯牛奶,The land/纽仕兰
4,进口食品,进口牛奶,进口纯牛奶,欧德堡
5,进口食品,进口牛奶,进口纯牛奶,Globemilk/荷高
6,进口食品,进口牛奶,进口纯牛奶,Arla/爱氏晨曦
7,进口食品,进口牛奶,进口纯牛奶,甘蒂牧场
8,进口食品,进口牛奶,进口纯牛奶,Meadow Fresh/纽麦福
9,进口食品,进口牛奶,进口纯牛奶,Vecozuivel/乐荷
10,进口食品,进口牛奶,进口纯牛奶,SUNSIDES/上质
11,进口食品,进口牛奶,进口纯牛奶,好沃德（德国）
12,进口食品,进口牛奶,进口纯牛奶,mukki
13,进口食品,进口牛奶,进口纯牛奶,维纯（澳大利亚）
14,进口食品,进口牛奶,进口纯牛奶,SUKI/多美鲜
15,进口食品,进口牛奶,进口酸奶,德亚
16,进口食品,进口牛奶,进口酸奶,卓德
17,进口食品,进口牛奶,进口酸奶,蒙牛
18,进口食品,进口牛奶,进口酸奶,安佳
19,进口食品,进口牛奶,进口酸奶,SUKI/多美鲜
20,进口食品,进口牛奶,进口酸奶,阿贝多
21,进口食品,进口牛奶,进口酸奶,菲仕利
22,进口食品,进口牛奶,进口酸奶,怡美特（德国）
23,进口食品,进口牛奶,进口酸奶,memilk
24,进口食品,进口牛奶,进口酸奶,亨利
25,进口食品,进口牛奶,进口酸奶,Sweet Cat/甜猫
26,进口食品,进口牛奶,进口成人奶粉,Nestle/雀巢
27,进口食品,进口牛奶,进口成人奶粉,安佳
28,进口食品,进口牛奶,进口成人奶粉,valio
29,进口食品,进口牛奶,进口成人奶粉,maxigenes/美可卓
30,进口食品,进口牛奶,进口成人奶粉,DEVONDALE/德运
31,进口食品,进口牛奶,进口成人奶粉,Karivita/卡瑞特兹
32,进口食品,进口牛奶,进口成人奶粉,Flevomel/风车牧场
33,进口食品,进口牛奶,进口成人奶粉,薇加（西班牙）
34,进口食品,进口牛奶,进口成人奶粉,荷兰乳牛
35,进口食品,进口牛奶,进口成人奶粉,德运
36,进口食品,进口牛奶,进口成人奶粉,The land/纽仕兰
37,进口食品,进口牛奶,进口成人奶粉,Nouriz/纽瑞滋
38,进口食品,进口牛奶,进口成人奶粉,爱薇牛
39,进口食品,进口牛奶,进口成人奶粉,Arla/爱氏晨曦
40,进口食品,进口牛奶,进口成人奶粉,全安素
41,进口食品,进口牛奶,进口成人奶粉,ANMUM/安满
42,进口食品,进口牛奶,进口成人奶粉,teekanne
43,进口食品,进口牛奶,进口成人奶粉,伊利
44,进口食品,进口牛奶,进口成人奶粉,Globemilk/荷高
45,进口食品,进口牛奶,进口含乳饮料,Vamino/哇米诺
46,进口食品,进口牛奶,进口含乳饮料,Binggrae/宾格瑞
47,进口食品,进口牛奶,进口含乳饮料,国农（台湾）
48,进口食品,进口牛奶,进口含乳饮料,JUKU JUKU
49,进口食品,进口牛奶,进口含乳饮料,豆的秘密（泰国）
50,进口食品,进口牛奶,进口含乳饮料,力大狮（泰国）
51,进口食品,进口牛奶,进口含乳饮料,维娜乳业（越南）
52,进口食品,进口牛奶,进口含乳饮料,hethy
53,进口食品,进口牛奶,进口含乳饮料,杨协成
54,进口食品,进口牛奶,进口含乳饮料,YUTAGON/优他多
55,进口食品,进口牛奶,进口含乳饮料,小猪佩奇
56,进口食品,进口牛奶,进口含乳饮料,达亦多
57,进口食品,进口牛奶,进口含乳饮料,正康
58,进口食品,进口牛奶,进口含乳饮料,小样
59,进口食品,进口牛奶,进口含乳饮料,吾尚
60,进口食品,进口牛奶,进口含乳饮料,starbucks/星巴克
61,进口食品,进口牛奶,进口有机牛奶,生机谷（澳大利亚）
62,进口食品,进口牛奶,进口有机牛奶,Abbott/雅培
63,进口食品,进口牛奶,进口有机牛奶,Vecozuivel/乐荷
64,进口食品,进口牛奶,进口有机牛奶,安佳
65,进口食品,进口牛奶,进口有机牛奶,Globemilk/荷高
66,进口食品,进口牛奶,进口有机牛奶,Wyeth/惠氏
67,进口食品,进口牛奶,进口有机牛奶,萨尔茨堡（奥地利）
69,进口食品,进口零食,进口蜜饯果干,榙榙
70,进口食品,进口零食,进口蜜饯果干,都乐
71,进口食品,进口零食,进口蜜饯果干,Henry Morgan/亨利摩根
72,进口食品,进口零食,进口蜜饯果干,SABAVA/沙巴哇
73,进口食品,进口零食,进口蜜饯果干,乐事多（美国）
74,进口食品,进口零食,进口蜜饯果干,楼兰蜜语
75,进口食品,进口零食,进口蜜饯果干,U100
76,进口食品,进口零食,进口蜜饯果干,道吉草
77,进口食品,进口零食,进口蜜饯果干,Groovy pop/果入味
78,进口食品,进口零食,进口蜜饯果干,MAKANAN/马卡兰
79,进口食品,进口零食,进口蜜饯果干,SUGARMAN/舒可曼
80,进口食品,进口零食,进口薯片/膨化,LORENZ/劳仑兹
81,进口食品,进口零食,进口薯片/膨化,哈得斯（英国）
82,进口食品,进口零食,进口薯片/膨化,啪啪通（印度尼西亚）
83,进口食品,进口零食,进口薯片/膨化,BURTS/啵尔滋
84,进口食品,进口零食,进口薯片/膨化,trEATZ!
85,进口食品,进口零食,进口薯片/膨化,海太
86,进口食品,进口零食,进口薯片/膨化,酥寻
87,进口食品,进口零食,进口薯片/膨化,墨西哥少女（美国）
88,进口食品,进口零食,进口薯片/膨化,印象（马来西亚）
89,进口食品,进口零食,进口薯片/膨化,MIAOW
90,进口食品,进口零食,进口薯片/膨化,奥嘉莱
91,进口食品,进口零食,进口薯片/膨化,Lay’s/乐事
92,进口食品,进口零食,进口薯片/膨化,Jacker/杰克
93,进口食品,进口零食,进口薯片/膨化,克恩兹
94,进口食品,进口零食,进口薯片/膨化,九日
95,进口食品,进口零食,进口薯片/膨化,趣莱福
96,进口食品,进口零食,进口薯片/膨化,BIKA（马来西亚）
97,进口食品,进口零食,进口薯片/膨化,Thins
98,进口食品,进口零食,进口薯片/膨化,农心
99,进口食品,进口零食,进口薯片/膨化,ANGRY BIRDS/愤怒的小鸟
100,进口食品,进口零食,进口坚果,绅士（美国）
101,进口食品,进口零食,进口坚果,KIRKLAND Signature/科克兰
102,进口食品,进口零食,进口坚果,Wonderful/万多福
103,进口食品,进口零食,进口坚果,LUCKY/栗祺
104,进口食品,进口零食,进口坚果,汤姆农场
105,进口食品,进口零食,进口坚果,蓝钻石（美国）
106,进口食品,进口零食,进口坚果,LORENZ/劳仑兹
107,进口食品,进口零食,进口坚果,蝴蝶牌（香港）
108,进口食品,进口零食,进口坚果,大哥
109,进口食品,进口零食,进口坚果,多赛特谷（英国）
110,进口食品,进口零食,进口糖果,乐家（美国）
111,进口食品,进口零食,进口糖果,cocoaland LOT100/一百份
112,进口食品,进口零食,进口糖果,Cavendish&Harvey/嘉云（德国）
113,进口食品,进口零食,进口糖果,COCON/可康
114,进口食品,进口零食,进口糖果,Pierrot Gourmand/倍乐果（法国）
115,进口食品,进口零食,进口糖果,EGO（马来西亚）
116,进口食品,进口零食,进口糖果,KDV（俄罗斯）
117,进口食品,进口零食,进口糖果,莎莎的店（西班牙）
118,进口食品,进口零食,进口糖果,ROSHEN/如胜
119,进口食品,进口零食,进口糖果,Kracie
120,进口食品,进口零食,进口糖果,徐福记
121,进口食品,进口零食,进口糖果,Galatine/佳乐定（意大利）
122,进口食品,进口零食,进口糖果,阿尔卑斯
123,进口食品,进口零食,进口糖果,Jelly Belly/吉力贝
124,进口食品,进口零食,进口糖果,UHA/悠哈
125,进口食品,进口零食,进口糖果,Ricola/利口乐
126,进口食品,进口零食,进口糖果,Lotte/乐天
127,进口食品,进口零食,进口糖果,MintZ（印度尼西亚）
128,进口食品,进口零食,进口糖果,皇家呣呣
129,进口食品,进口零食,进口糖果,LonttonWF
130,进口食品,进口零食,进口果冻布丁,COCON/可康
131,进口食品,进口零食,进口果冻布丁,ZEK
132,进口食品,进口零食,进口果冻布丁,乐卡斯
133,进口食品,进口零食,进口果冻布丁,MAKANAN/马卡兰
134,进口食品,进口零食,进口果冻布丁,盛香珍
135,进口食品,进口零食,进口果冻布丁,新巧风（台湾）
136,进口食品,进口零食,进口果冻布丁,Tarami
137,进口食品,进口零食,进口果冻布丁,雅米熊猫
138,进口食品,进口零食,进口果冻布丁,果爱（马来西亚）
139,进口食品,进口零食,进口果冻布丁,EGO（马来西亚）
140,进口食品,进口零食,进口海产品,海牌
141,进口食品,进口零食,进口海产品,fish's room/渔一半
142,进口食品,进口零食,进口海产品,波力
143,进口食品,进口零食,进口海产品,海牌菁品
145,进口食品,进口零食,进口巧克力,lindt/瑞士莲
146,进口食品,进口零食,进口巧克力,Guylian/吉利莲
147,进口食品,进口零食,进口巧克力,德菲丝
148,进口食品,进口零食,进口巧克力,RitterSport/瑞特斯波德 （德国）
149,进口食品,进口零食,进口巧克力,爱芙（马来西亚）
150,进口食品,进口零食,进口巧克力,Toblerone/三角
151,进口食品,进口零食,进口巧克力,Morinaga/森永
152,进口食品,进口零食,进口巧克力,ROSHEN/如胜
153,进口食品,进口零食,进口巧克力,乐家（美国）
154,进口食品,进口零食,进口巧克力,Mcvities/麦维他
155,进口食品,进口零食,进口巧克力,Cote D＇or Experiences/克特多金象
156,进口食品,进口零食,进口巧克力,BACI
157,进口食品,进口零食,进口巧克力,CorNichE/可尼斯
158,进口食品,进口零食,进口巧克力,Lotte/乐天
159,进口食品,进口零食,进口巧克力,EGO（马来西亚）
160,进口食品,进口零食,进口巧克力,KDV（俄罗斯）
161,进口食品,进口零食,进口巧克力,高岗（日本））
162,进口食品,进口零食,进口巧克力,Nestle/雀巢
163,进口食品,进口零食,进口巧克力,不二家
164,进口食品,进口零食,进口巧克力,Beryl’s
165,进口食品,进口酒饮,进口葡萄酒,奔富
166,进口食品,进口酒饮,进口葡萄酒,罗莎
167,进口食品,进口酒饮,进口葡萄酒,拉菲
168,进口食品,进口酒饮,进口葡萄酒,爱之湾
169,进口食品,进口酒饮,进口葡萄酒,Yellow Tail/黄尾袋鼠
170,进口食品,进口酒饮,进口葡萄酒,马代苏
171,进口食品,进口酒饮,进口葡萄酒,Suamgy/圣芝
172,进口食品,进口酒饮,进口葡萄酒,红魔鬼
173,进口食品,进口酒饮,进口葡萄酒,幸运石
174,进口食品,进口酒饮,进口葡萄酒,爱多堡庄园
175,进口食品,进口酒饮,进口葡萄酒,梦诺
176,进口食品,进口酒饮,进口葡萄酒,丽瑞城堡
177,进口食品,进口酒饮,进口啤酒,奥丁格
178,进口食品,进口酒饮,进口啤酒,科罗娜
179,进口食品,进口酒饮,进口啤酒,瓦伦丁
180,进口食品,进口酒饮,进口啤酒,爱士堡
181,进口食品,进口酒饮,进口啤酒,Kuliner/古立特
182,进口食品,进口酒饮,进口啤酒,Hoegaarden/福佳
183,进口食品,进口酒饮,进口啤酒,凯尔特人
184,进口食品,进口酒饮,进口啤酒,ASAHI/朝日
185,进口食品,进口酒饮,进口啤酒,stangen/斯坦根
186,进口食品,进口酒饮,进口啤酒,kaiserdom
187,进口食品,进口酒饮,进口啤酒,燕京啤酒
188,进口食品,进口酒饮,进口啤酒,中粮
189,进口食品,进口酒饮,进口啤酒,波罗的海
190,进口食品,进口酒饮,进口啤酒,Brouczech/布鲁杰克
191,进口食品,进口酒饮,进口啤酒,喜力
192,进口食品,进口酒饮,进口啤酒,格林王
193,进口食品,进口酒饮,进口啤酒,健力士
194,进口食品,进口酒饮,进口啤酒,保拉纳
195,进口食品,进口酒饮,进口啤酒,CHANG BEER
196,进口食品,进口酒饮,进口啤酒,嘉士伯
197,进口食品,进口酒饮,进口起泡酒,爱之湾
198,进口食品,进口酒饮,进口起泡酒,WINEKEE/红酒客
